pl_name,hostname,pl_letter,discoverymethod,pl_orbper,pl_orbsmax,pl_bmasse,pl_rade,disc_year,gaia_id
55 Cnc b,55 Cnc,b,Radial Velocity,14.65155200000,0.1180000000,263.97850000,13.90000000,1996,Gaia DR3 704967037090946688
55 Cnc c,55 Cnc,c,Radial Velocity,44.39360000000,0.2470000000,54.47380000,8.51000000,2004,Gaia DR3 704967037090946688
55 Cnc d,55 Cnc,d,Radial Velocity,4799.00000000000,5.6000000000,1232.49300000,13.00000000,2002,Gaia DR3 704967037090946688
55 Cnc e,55 Cnc,e,Radial Velocity,0.73654740000,0.0154400000,7.99000000,1.87500000,2004,Gaia DR3 704967037090946688
55 Cnc f,55 Cnc,f,Radial Velocity,260.58000000000,0.8020000000,44.81200000,7.59000000,2007,Gaia DR3 704967037090946688
HD 10180 c,HD 10180,c,Radial Velocity,5.75969000000,0.0641200000,2741.58783878,,2010,Gaia DR3 4716158250340258944
HD 10180 d,HD 10180,d,Radial Velocity,16.35700000000,0.1285900000,3295.88058059,,2010,Gaia DR3 4716158250340258944
HD 10180 e,HD 10180,e,Radial Velocity,49.74800000000,0.2699000000,25.10000000,5.39000000,2010,Gaia DR3 4716158250340258944
HD 10180 f,HD 10180,f,Radial Velocity,122.74400000000,0.4929000000,23.90000000,5.24000000,2010,Gaia DR3 4716158250340258944
HD 10180 g,HD 10180,g,Radial Velocity,604.67000000000,1.4270000000,3375.33768234,,2010,Gaia DR3 4716158250340258944
HD 10180 h,HD 10180,h,Radial Velocity,2205.00000000000,3.3810000000,64.40000000,9.40000000,2010,Gaia DR3 4716158250340258944
HR 8799 b,HR 8799,b,Imaging,170000.00000000000,68.0000000000,2000.00000000,13.00000000,2008,Gaia DR3 2832463659640297472
HR 8799 c,HR 8799,c,Imaging,69000.00000000000,38.0000000000,3000.00000000,13.00000000,2008,Gaia DR3 2832463659640297472
HR 8799 d,HR 8799,d,Imaging,37000.00000000000,24.0000000000,3000.00000000,13.00000000,2008,Gaia DR3 2832463659640297472
HR 8799 e,HR 8799,e,Imaging,20815.60000000000,16.4000000000,3178.30000000,13.11453000,2010,Gaia DR3 2832463659640297472
KOI-351 b,KOI-351,b,Transit,7.00815100000,0.0740000000,2.27000000,1.31000000,2013,Gaia DR3 2132193431285570304
KOI-351 c,KOI-351,c,Transit,8.71937500000,0.0890000000,1.81000000,1.19000000,2013,Gaia DR3 2132193431285570304
KOI-351 d,KOI-351,d,Transit,59.73667000000,0.3200000000,8.60000000,2.87000000,2013,Gaia DR3 2132193431285570304
KOI-351 e,KOI-351,e,Transit,91.93913000000,0.4200000000,7.56000000,2.66000000,2013,Gaia DR3 2132193431285570304
KOI-351 f,KOI-351,f,Transit,124.91440000000,0.4800000000,8.65000000,2.88000000,2013,Gaia DR3 2132193431285570304
KOI-351 g,KOI-351,g,Transit,210.73514000000,0.7170400000,15.00000000,7.71800000,2013,Gaia DR3 2132193431285570304
KOI-351 h,KOI-351,h,Transit,331.60296000000,0.9706200000,203.00000000,11.25200000,2013,Gaia DR3 2132193431285570304
Kepler-90 i,KOI-351,i,Transit,14.44912000000,0.1201380843,2.30000000,1.32000000,2017,Gaia DR3 2132193431285570304
Kepler-186 b,Kepler-186,b,Transit,3.88679070000,0.0343000000,1.24000000,1.07000000,2014,Gaia DR3 2079000330051813504
Kepler-186 c,Kepler-186,c,Transit,7.26730200000,0.0451000000,2.10000000,1.25000000,2014,Gaia DR3 2079000330051813504
Kepler-186 d,Kepler-186,d,Transit,13.34299600000,0.0781000000,2.54000000,1.40000000,2014,Gaia DR3 2079000330051813504
Kepler-186 e,Kepler-186,e,Transit,22.40770400000,0.1100000000,2.15000000,1.27000000,2014,Gaia DR3 2079000330051813504
Kepler-186 f,Kepler-186,f,Transit,129.94410000000,0.4320000000,1.71000000,1.17000000,2014,Gaia DR3 2079000330051813504
PDS 70 b,PDS 70,b,Imaging,43500.00000000000,20.8000000000,1017.05090240,21.96960217,2018,Gaia DR3 6110141563309613056
PDS 70 c,PDS 70,c,Imaging,,34.3000000000,2383.71305250,22.19378179,2019,Gaia DR3 6110141563309613056
Proxima Cen b,Proxima Cen,b,Radial Velocity,11.18465000000,0.0484800000,1.05500000,1.02000000,2016,Gaia DR3 5853498713190525696
Proxima Cen d,Proxima Cen,d,Radial Velocity,5.12338000000,0.0288100000,0.26000000,0.69200000,2025,Gaia DR3 5853498713190525696
TOI-700 b,TOI-700,b,Transit,9.97721900000,0.0677000000,0.70400000,0.91400000,2020,Gaia DR3 5284517766615850752
TOI-700 c,TOI-700,c,Transit,16.05113700000,0.0929000000,7.27000000,2.60000000,2020,Gaia DR3 5284517766615850752
TOI-700 d,TOI-700,d,Transit,37.42396000000,0.1633000000,1.25000000,1.07300000,2020,Gaia DR3 5284517766615850752
TOI-700 e,TOI-700,e,Transit,27.80978000000,0.1340000000,0.81800000,0.95300000,2023,Gaia DR3 5284517766615850752
TRAPPIST-1 b,TRAPPIST-1,b,Transit,1.51082600000,0.0115400000,1.37400000,1.11600000,2016,Gaia DR3 2635476908753563008
TRAPPIST-1 c,TRAPPIST-1,c,Transit,2.42193700000,0.0158000000,1.30800000,1.09700000,2016,Gaia DR3 2635476908753563008
TRAPPIST-1 d,TRAPPIST-1,d,Transit,4.04921900000,0.0222700000,0.38800000,0.78800000,2016,Gaia DR3 2635476908753563008
TRAPPIST-1 e,TRAPPIST-1,e,Transit,6.10101300000,0.0292500000,0.69200000,0.92000000,2017,Gaia DR3 2635476908753563008
TRAPPIST-1 f,TRAPPIST-1,f,Transit,9.20754000000,0.0384900000,1.03900000,1.04500000,2017,Gaia DR3 2635476908753563008
TRAPPIST-1 g,TRAPPIST-1,g,Transit,12.35244600000,0.0468300000,1.32100000,1.12900000,2017,Gaia DR3 2635476908753563008
TRAPPIST-1 h,TRAPPIST-1,h,Transit,18.77286600000,0.0618900000,0.32600000,0.75500000,2017,Gaia DR3 2635476908753563008
tau Cet f,tau Cet,f,Radial Velocity,636.13000000000,1.3340000000,3.93000000,1.81000000,2017,Gaia DR3 2452378776434477184
tau Cet g,tau Cet,g,Radial Velocity,20.00000000000,0.1330000000,1.75000000,1.18000000,2017,Gaia DR3 2452378776434477184
tau Cet h,tau Cet,h,Radial Velocity,49.41000000000,0.2430000000,1.83000000,1.19000000,2017,Gaia DR3 2452378776434477184
